date,coin_id,price,volume,market_cap,daily_return_pct,price_7d_ma,volume_7d_ma
2025-07-09,official-trump,8.616640961324805,157355345.29219955,1723603664.4093788,0.4734819671040169,8.659154227177037,179770672.5738353
2025-07-10,official-trump,9.059380224605894,376869542.2625357,1812094756.450461,5.138188596557436,8.690929278819215,196873196.60116568
2025-07-11,official-trump,9.771367107869912,651016040.2353854,1954165098.5174105,7.859112495689424,8.81397972266804,254552419.7984737
2025-07-12,official-trump,9.92427751101124,1199101490.2374282,1983598142.2093115,1.5648823900820785,9.01581524281423,394942519.1363207
2025-07-13,official-trump,9.595839092245768,511754281.7683736,1917215002.5064068,-3.309444122265437,9.16736625226034,451868413.4073536
2025-07-14,official-trump,9.533215251823004,452044661.6184595,1905454836.2688608,-0.6526145324109223,9.296679304438888,498336512.9545436
2025-07-15,official-trump,9.409621708094944,641621716.5828642,1879996535.7643044,-1.2964518314471651,9.41576312242508,569966153.9996064
2025-07-16,official-trump,9.492253233420971,532636313.30846864,1897782409.2944288,0.8781599079051183,9.54085058986739,623577720.8590735
2025-07-17,official-trump,9.885166698425008,1129362200.9663725,1978087363.8116348,4.139306604470261,9.658820086127264,731076672.1024787
2025-07-18,official-trump,10.011630222880326,943896403.595194,2005186446.3528712,1.2793261693347713,9.69314338827161,772916724.0110228
2025-07-19,official-trump,9.996941730969242,1213073711.3442,1998872913.2549148,-0.14671428712493828,9.703523991122752,774912755.5977045
2025-07-20,official-trump,10.14936413825857,407661060.8386799,2029872580.372535,1.5246903642255116,9.78259899769601,760042295.4648912
2025-07-21,official-trump,10.779204612154771,923237450.5032246,2153456633.408944,6.205713632068677,9.960597477743404,827355551.0198575
2025-07-22,official-trump,11.236893002148577,1495163816.7301476,2250290850.6597605,4.246031191185562,10.221636234036781,949290136.7551838
2025-07-23,official-trump,11.129086134977648,1170193318.197878,2223306812.288741,-0.9594010297180544,10.455469505687734,1040369708.8822422
2025-07-24,official-trump,10.12510600402879,1033454181.5748588,2024859941.856241,-9.021227069071236,10.489746549345417,1026668563.254883
2025-07-25,official-trump,9.973878838594882,893977843.2525257,1994228699.2063224,-1.4935859967662113,10.484353494447499,1019537340.3487875
2025-07-26,official-trump,10.10502255201205,696118833.4959424,2020584823.9228225,1.3148717318451464,10.499793611739326,945686643.5133222
2025-07-27,official-trump,10.146252255727584,249654751.99470055,2029250178.1328592,0.4080119910996549,10.499349057092044,923114313.678468
2025-07-28,official-trump,10.302032534776204,285116171.1546856,2060217064.667161,1.5353479799468106,10.431181617466533,831954130.9143912
2025-07-29,official-trump,9.6940082634685,586500442.738521,1939622820.7807877,-5.901983606198269,10.210769511940809,702145077.4870158
2025-07-30,official-trump,9.487774554962032,362336086.5864644,1896309567.5012543,-2.1274348329540116,9.976296429081435,586736901.5425283
2025-07-31,official-trump,9.296962336805043,363118652.6025639,1859586647.3734584,-2.0111377757937476,9.857990190906614,490974683.1179147
2025-08-01,official-trump,8.945160781035765,295246152.64680064,1789453046.2949064,-3.7840484130666763,9.711030468398167,405441584.4599539
2025-08-02,official-trump,8.719354782005093,507006548.2941454,1743187820.2734046,-2.5243369522143566,9.513077929825746,378425543.7168401
2025-08-03,official-trump,8.616985884834898,347586694.1112667,1724600732.6817985,-1.1740421135456258,9.294611305412504,392415821.1620638
2025-08-04,official-trump,8.819415056134043,160960086.51667553,1763858822.9164965,2.349187685863585,9.082808808463625,374679237.6423482
2025-08-05,official-trump,9.040595844739745,215167036.23680863,1807528764.4322648,2.507885015025657,8.989464177216659,321631608.1421035
2025-08-06,official-trump,8.680850673139739,259730798.36631072,1736671169.7716455,-3.979219708281978,8.874189336956332,306973709.82493865
2025-08-07,official-trump,8.853846343767758,190920100.52820307,1770748957.799799,1.9928423738851064,8.81088705223672,282373916.67145854
2025-08-08,official-trump,9.222598482535776,296262427.2897378,1843023951.9646797,4.1648807134266885,8.850521009593864,282519098.7633067
2025-08-09,official-trump,9.40041488434012,374428735.2154066,1880369372.7415397,1.9280509949670233,8.94781530992744,263579411.1806297
2025-08-10,official-trump,9.537784600478574,286016755.9901726,1907599090.7223225,1.4613154613770662,9.079357983590823,254783705.73475912
2025-08-11,official-trump,9.27386893825834,344688275.53158087,1853591048.310001,-2.767054124990309,9.144279966751437,281030589.8797456
2025-08-12,official-trump,8.806337639481958,528157239.04707927,1761424131.9391806,-5.0413835033578325,9.110814508857468,325743475.9954986
2025-08-13,official-trump,9.221612290555193,492830754.1331742,1844036509.59119,4.715633990813739,9.188066168488247,359043469.67647904
2025-08-14,official-trump,9.640659930057549,770146920.8233476,1929917071.436872,4.544190606793852,9.300468109386786,441790158.2900711
2025-08-15,official-trump,9.09537772644897,1142081818.2605069,1819114193.195891,-5.6560671942021745,9.282293715660101,562621499.8573239
2025-08-16,official-trump,9.233449454322631,721515482.0918635,1846255509.2562587,1.5180428128032109,9.258441511371887,612205320.8396748
2025-08-17,official-trump,9.11633703240232,312938532.45911634,1820851891.7388687,-1.268349629243759,9.198234715932424,616051288.9066669
2025-08-18,official-trump,9.265544136979516,391369453.3806338,1854212350.0746267,1.636700179544337,9.197045458606878,622720028.5993887
2025-08-19,official-trump,9.074281028220597,405147596.5497507,1815022786.7252157,-2.0642404367334777,9.235323085569538,605147222.5283418
2025-08-20,official-trump,8.617732684625363,421158501.8515531,1724016156.9440637,-5.031234344356205,9.149054570436705,594908329.345253
2025-08-21,official-trump,8.900769865923166,313032147.1659681,1780154731.035124,3.2843578659937034,9.04335598984608,529606218.8227702
2025-08-22,official-trump,8.392065149560482,482663850.7897128,1678267464.0043726,-5.7152889471985375,8.942882764576296,435403652.0412282
2025-08-23,official-trump,8.988660039758608,642053078.2463349,1798141478.4113758,7.109035494432159,8.907912848210007,424051880.06329554
2025-08-24,official-trump,8.899864077854987,373033099.4218789,1779790271.5366073,-0.987866506363122,8.876988140417533,432636818.200833
2025-08-25,official-trump,8.668549612991626,395135698.0752013,1734181277.469886,-2.59907862457055,8.791703208419262,433174853.1571998
2025-08-26,official-trump,8.181073195878662,437972287.4893279,1636143307.5487096,-5.62350610974619,8.664102089513271,437864094.7199965
2025-08-27,official-trump,8.447893309367313,341413385.1718532,1689447378.4564524,3.2614316862861648,8.639839321619263,426471935.19432515
2025-08-28,official-trump,8.408781403254457,304218059.3507438,1682503129.4873629,-0.4629782204930044,8.569555255523733,425212779.7921503
2025-08-29,official-trump,8.564985459697802,275633752.6904817,1712835981.810885,1.8576301244183746,8.594258156971922,395637051.4922601
2025-08-30,official-trump,8.367064021949611,410633273.2650008,1675132896.4882672,-2.3108204757556483,8.505458725856352,362577079.3520695
2025-08-31,official-trump,8.36723560302269,143937696.4653766,1673022227.2516923,0.0020506724058622083,8.429368943737453,329849164.6439977
2025-09-01,official-trump,8.618810963638946,645026482.7554332,1723462385.8669827,3.0066723653075167,8.422263422401356,365547848.16974515
2025-09-02,official-trump,8.336200261167386,1526712118.112273,1668138544.6081147,-3.278998735020855,8.444424431728315,521082109.6873087
2025-09-03,official-trump,8.392774267864521,465034269.02021617,1677352272.077354,0.6786546019134754,8.436550282942202,538742235.9513606
2025-09-04,official-trump,8.433179940455027,226774862.9097221,1685499834.6245954,0.4814340443447529,8.44003578825657,527678922.1740718
2025-09-05,official-trump,8.288584816820329,192010572.67508325,1658267706.1774533,-1.7145978700283226,8.400549982131215,515732753.6004435
